Matrix size, Threads,Time (seconds)
64, 1, 0.00110018
64, 2, 0.00061797
64, 4, 0.00053826
64, 8, 0.00062151
64, 16, 0.00107937
128, 1, 0.00625986
128, 2, 0.00357932
128, 4, 0.00202531
128, 8, 0.00154439
128, 16, 0.00218266
256, 1, 0.05376349
256, 2, 0.02615845
256, 4, 0.01340826
256, 8, 0.00960537
256, 16, 0.00833357
512, 1, 0.49896479
512, 2, 0.25822310
512, 4, 0.14893509
512, 8, 0.09892961
512, 16, 0.06572780
1024, 1, 3.83996240
1024, 2, 2.09019574
1024, 4, 1.10529938
1024, 8, 0.65563979
1024, 16, 0.42858891
2048, 1, 102.16766772
2048, 2, 53.34682599
2048, 4, 29.14390611
2048, 8, 17.14131821
2048, 16, 12.70183601
